timestamp,action,token_id,fee0,fee1,pnl0,pnl1,cum_fee0,cum_fee1,cum_pnl0,cum_pnl1,price_non_usdc,price_reward_token,fee_usd,pnl_usd,cum_fee_usd,cum_pnl_usd,reward,reward_usd,cum_reward,cum_reward_usd,earning_profit_usd,total_profit_usd,cum_earning_profit_usd,cum_total_profit_usd,inpos0,inpos1,inpos_usd
2025-09-04T13:45:25+00:00,mint,24623109,0,0,0,0,0,0,0,0,114057.17,1.01248,0,0,0,0,0,0,0,0,0,0,0,0,1641.793994,0.00207616,1878.59
2025-09-04T15:20:13+00:00,burn,24623109,0,0,-1641.793994,0.0149109,0,0,-1641.793994,0.0149109,114057.17,1.01248,0,58.9,0,58.9,0,0,0,0,0,58.9,0,58.9,0,0,0
2025-09-04T15:20:13+00:00,collect,24623109,1.238164,0.00001517,0,0,1.238164,0.00001517,-1641.793994,0.0149109,114057.17,1.01248,2.97,0,2.97,58.9,0,0,0,0,2.97,2.97,2.97,61.87,0,0,0
2025-09-04T15:20:35+00:00,mint,24631504,0,0,0,0,1.238164,0.00001517,-1641.793994,0.0149109,114057.17,1.01248,0,0,2.97,58.9,0,0,0,0,0,0,2.97,61.87,779.894651,0.00973749,1890.53
2025-09-04T22:30:11+00:00,burn,24631504,0,0,1071.989007,-0.00973749,1.238164,0.00001517,-569.804987,0.00517341,114057.17,1.01248,0,-38.64,2.97,20.26,0,0,0,0,0,-38.64,2.97,23.23,0,0,0
2025-09-04T22:30:11+00:00,collect,24631504,1.993294,0.00001506,0,0,3.231458,0.00003023,-569.804987,0.00517341,114057.17,1.01248,3.71,0,6.68,20.26,0,0,0,0,3.71,3.71,6.68,26.94,0,0,0
2025-09-04T22:30:29+00:00,mint,24665233,0,0,0,0,3.231458,0.00003023,-569.804987,0.00517341,114057.17,1.01248,0,0,6.68,20.26,0,0,0,0,0,0,6.68,26.94,1123.841292,0.00790345,2025.29
2025-09-05T07:00:11+00:00,burn,24665233,0,0,880.054627,-0.00790345,3.231458,0.00003023,310.24964,-0.00273004,114057.17,1.01248,0,-21.39,6.68,-1.13,0,0,0,0,0,-21.39,6.68,5.55,0,0,0
2025-09-05T07:00:11+00:00,collect,24665233,1.877467,0.00001396,0,0,5.108925,0.00004419,310.24964,-0.00273004,114057.17,1.01248,3.47,0,10.15,-1.13,0,0,0,0,3.47,3.47,10.15,9.02,0,0,0
2025-09-05T07:00:33+00:00,mint,24700852,0,0,0,0,5.108925,0.00004419,310.24964,-0.00273004,114057.17,1.01248,0,0,10.15,-1.13,0,0,0,0,0,0,10.15,9.02,1074.021403,0.008253,2015.34
2025-09-05T08:00:13+00:00,burn,24700852,0,0,927.986678,-0.008253,5.108925,0.00004419,1238.236318,-0.01098304,114057.17,1.01248,0,-13.33,10.15,-14.46,0,0,0,0,0,-13.33,10.15,-4.31,0,0,0
2025-09-05T08:00:13+00:00,collect,24700852,0.714439,0.0000036,0,0,5.823364,0.00004779,1238.236318,-0.01098304,114057.17,1.01248,1.13,0,11.27,-14.46,0,0,0,0,1.13,1.13,11.27,-3.18,0,0,0
2025-09-05T08:00:31+00:00,mint,24706500,0,0,0,0,5.823364,0.00004779,1238.236318,-0.01098304,114057.17,1.01248,0,0,11.27,-14.46,0,0,0,0,0,0,11.27,-3.18,1002.477488,0.00882086,2008.56
